bond,Atom1,Atom2,confident_prediction,Rcov_sum,delta,R0_estimated,R0_empirical,B
He_He,He,He,0,0.56,-0.06150351905949525,0.6215035190594953,,
He_H,He,H,0,0.5900000000000001,-0.04122276852379075,0.6312227685237908,,
H_H,H,H,1,0.62,0.17617240354222,0.44382759645778,0.74,0.37
He_F,He,F,0,0.85,-0.05991877390360323,0.9099187739036032,,
He_Ne,He,Ne,0,0.86,-0.05907785701399504,0.919077857013995,,
H_F,H,F,1,0.8799999999999999,0.1660086499950685,0.7139913500049314,0.708,0.558
H_Ne,H,Ne,0,0.8899999999999999,0.1668495668846767,0.7231504331153232,,
He_O,He,O,0,0.9400000000000001,-0.04381177335467151,0.9838117733546716,,
H_O,H,O,1,0.97,0.1824972915940927,0.7875027084059072,0.871,0.456
N_He,N,He,0,0.99,-0.05349443355039668,1.043494433550397,,
C_He,C,He,0,1.01,-0.03237752443264935,1.042377524432649,,
N_H,N,H,1,1.02,-0.06303115866834075,1.083031158668341,1.014,0.413
C_H,C,H,1,1.04,-0.03528656573969297,1.075286565739693,1.1,0.37
B_He,B,He,0,1.12,0.05056332712929706,1.069436672870703,,
F_F,F,F,1,1.14,-0.0859562342680007,1.225956234268001,,
B_H,B,H,1,1.15,0.02835400761507512,1.121645992384925,1.14,0.37
F_Ne,F,Ne,0,1.15,-0.08511531737839251,1.235115317378392,,
Ne_Ne,Ne,Ne,0,1.16,-0.08852313998938277,1.248523139989383,,
O_F,O,F,1,1.23,-0.09636380488371998,1.32636380488372,,
Be_He,Be,He,0,1.24,0.1687647658269928,1.071235234173007,,
O_Ne,O,Ne,0,1.24,-0.0955228879941118,1.335522887994112,,
Be_H,Be,H,1,1.27,0.1253166645733435,1.144683335426657,1.11,0.37
N_F,N,F,1,1.28,-0.05961085878142974,1.339610858781429,1.365,0.37
N_Ne,N,Ne,0,1.29,-0.05876994189182155,1.348769941891822,,
Cl_He,Cl,He,0,1.3,-0.04530901234318369,1.345309012343184,,
C_F,C,F,1,1.3,-0.01809211257633092,1.318092112576331,1.32,0.37
C_Ne,C,Ne,0,1.31,-0.01725119568672273,1.327251195686723,,
O_O,O,O,1,1.32,-0.07890466658561929,1.398904666585619,1.406,0.37
Cl_H,Cl,H,1,1.33,-0.0676552755485223,1.397655275548522,1.336,0.53
S_He,S,He,0,1.33,-0.008642167058554084,1.338642167058554,,
Ar_He,Ar,He,0,1.34,-0.1076809070226523,1.447680907022652,,
P_He,P,He,0,1.35,-0.01146515747067101,1.361465157470671,,
S_H,S,H,1,1.36,-0.03354673144623332,1.393546731446234,1.192,0.591
Ar_H,Ar,H,0,1.37,-0.115798858010178,1.485798858010178,,
N_O,N,O,1,1.37,-0.03918586336762764,1.409185863367628,1.3965,0.37
P_H,P,H,1,1.38,-0.06871180816256489,1.448711808162565,1.41,0.37
Si_He,Si,He,0,1.39,0.01109434342489696,1.378905656575103,,
C_O,C,O,1,1.39,-0.001253316643157365,1.391253316643158,1.3985,0.37
B_F,B,F,1,1.41,0.1135986676912212,1.296401332308779,1.293333333333333,0.3699999999999999
Si_H,Si,H,1,1.42,-0.05205105046850311,1.472051050468503,1.47,0.37
B_Ne,B,Ne,0,1.42,0.1144395845808293,1.305560415419171,,
N_N,N,N,1,1.42,-0.04400111219747044,1.46400111219747,,
Kr_He,Kr,He,0,1.44,-0.1232060635295904,1.56320606352959,,
C_N,C,N,1,1.44,-0.02608801176889636,1.466088011768896,1.456,0.37
